Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
355 N Halsted St 355 N Halsted St,Chicago,IL60661–West Loop,3,2,4139,1035,3.9990338164251207,86,
Monroe Aberdeen Place 1050-1060 W Monroe St,Chicago,IL60607–West Loop,3,2,2749,765,3.593464052287582,81,
500 S Clinton St 500 S Clinton St,Chicago,IL60607–South Loop,2,1.5,1950,100,19.5,98,
1035 W Van Buren St Unit FL11-ID754 Chicago,IL60607–West Loop,1,1,2930,739,3.9648173207036534,85,
1053 W Van Buren St Chicago,IL60607–West Loop,1,1,2390,,0,80,
720 N Milwaukee Ave Unit 2105 Chicago,IL60642–University Village,3,3,3875,1152,3.3637152777777777,78,
123 S Green St Unit 1202B Chicago,IL60607–Fulton Market,1,1,2595,800,3.24375,90,
1162 Hubbard W St Unit 304 Chicago,IL60642–West Loop,3,2,3500,1700,2.0588235294117645,75,
1242 W Jackson Blvd Unit 03W Chicago,IL60607–West Loop,2,2,4500,1664,2.704326923076923,75,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,1950,650,3.0,100,
611 S Wells St Unit 1 Chicago,IL60607–South Loop,1,1,2100,1020,2.0588235294117645,100,
1135 W Van Buren St Chicago,IL60607–West Loop,1,1,2395,685,3.4963503649635035,78,
1240 W Monroe St Unit 11 Chicago,IL60607–Fulton Market,3,2,4300,1655,2.598187311178248,76,
939 W Washington Blvd Unit FL5-ID190 Chicago,IL60607–Fulton Market,Studio,1,3020,482,6.265560165975104,87,
648 W 16th St Chicago,IL60616–Pilsen,3,2.5,3900,1900,2.0526315789473686,65,
729 S Clark St Unit 2305 Chicago,IL60605–South Loop,1,1,2635,,0,100,
1035 W Van Buren St Unit FL14-ID396 Chicago,IL60607–West Loop,Studio,1,2540,499,5.090180360721443,85,
700 W Van Buren St Unit 703 Chicago,IL60607–West Loop,2,1.5,2350,,0,94,
1342 W Hubbard St Unit 1F Chicago,IL60642–West Loop,3,2,2700,1200,2.25,72,
808 W University Ln Unit 2B Chicago,IL60608–University Village,2,2,2300,1250,1.84,64,
330 S Wells St Unit FL14-ID201 Chicago,IL60606–Chicago Loop,1,1,2890,604,4.78476821192053,100,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,900,2.3333333333333335,71,
625 W Jackson Blvd Unit 803 Chicago,IL60661–West Loop,1,1,2200,850,2.588235294117647,98,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,1,1,2000,700,2.857142857142857,100,
125 S Green St Unit 804a Chicago,IL60607–West Loop,1,1,2500,900,2.7777777777777777,90,
834 W Monroe St Unit FL5-ID772 Chicago,IL60607–West Loop,Studio,1,2980,546,5.457875457875458,86,
939 W Washington Blvd Unit FL7-ID225 Chicago,IL60607–Fulton Market,1,1,3260,625,5.216,87,
1101 W Fulton Market Chicago,IL60607–Fulton Market,Studio,1,1915,,0,78,
901 W Madison St Unit 00404 Chicago,IL60607–West Loop,1,1.5,2500,900,2.7777777777777777,85,
625 W Jackson Blvd Unit 803 Chicago,IL60661–West Loop,1,1,2200,850,2.588235294117647,98,
1 bedroom in Chicago IL 60607 611 S Wells St,Chicago,IL60607–South Loop,1,2,2195,,0,100,
The Van Buren 808 W Van Buren St,Chicago,IL60607–West Loop,2,2,2190,551,3.97459165154265,88,
1140 N Wells St Unit Deluxe One Bedroom Suite #4.1341668 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
1500 W Monroe St Unit 209 Chicago,IL60607–Fulton Market,1,1,2000,,0,75,
180 N Ada St Unit FL6-ID487 Chicago,IL60607–Fulton Market,1,1,3480,790,4.405063291139241,72,
235 W Van Buren St Unit 3201 Chicago,IL60607–Chicago Loop,2,2,2900,,0,100,
Circle Park Apartments 1111 S Ashland Ave,Chicago,IL60607–Little Italy,3,2,1400,910,1.5384615384615385,68,
909 W Washington Blvd Unit 1008 Chicago,IL60607–Fulton Market,2,2,3350,1100,3.0454545454545454,84,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,1100,1.9090909090909092,71,
1200 W Monroe St Unit 0415 Chicago,IL60607–Fulton Market,1,1,2250,950,2.3684210526315788,77,
1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy,2,1,2100,9999,0.21002100210021002,71,
1107 W Van Buren St 1107 W Van Buren St,Chicago,IL60607–West Loop,3,2,2015,470,4.287234042553192,78,
727 S Clark St Unit 311 Chicago,IL60605–South Loop,1,1,2390,,0,100,
903 S Ashland Ave Unit FL2-ID719 Chicago,IL60607–Little Italy,1,1,2590,624,4.1506410256410255,70,
720 N Milwaukee Ave Unit 1705 Chicago,IL60642–University Village,3,3,3850,1152,3.342013888888889,78,
1107 W Van Buren St Unit 1 Chicago,IL60607–West Loop,1,1,2679,700,3.827142857142857,78,
1436 W Randolph St 1436 W Randolph St,Chicago,IL60607–Chicago,2,2,2457,720,3.4125,73,
611 S Wells St 611 S Wells St,Chicago,IL60607–South Loop,2,2,2000,700,2.857142857142857,100,
1152 W Randolph St Unit 1 Chicago,IL60607–Fulton Market,2,2,3100,1300,2.3846153846153846,74,
235 W Van Buren St Unit 3201 Chicago,IL60607–Chicago Loop,2,2,2800,1292,2.1671826625387,100,
726 W 17th St Chicago,IL60616–Pilsen,2,1.5,1950,,0,63,
911 S Miller St Unit 3 Chicago,IL60607–University Village,4,2,4300,,0,73,
908-910 S Bishop St 908-910 S Bishop St,Chicago,IL60607–Little Italy,2,1,2500,1200,2.0833333333333335,70,
1327 W Washington Blvd Unit 2a Chicago,IL60607–Fulton Market,2,2,4999,2000,2.4995,73,
24 N May St Unit 333 Chicago,IL60607–Fulton Market,3,2.5,6000,,0,78,
1 br, 1.5 bath House - 737 W Washington #806 737 W Washington Blvd,Chicago,IL60661–Fulton Market,1,1.5,2500,1040,2.4038461538461537,92,
1140 N Wells St Unit Executive One Bedroom Suite #1.1341672 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
1402 W Randolph St Unit 1102 Chicago,IL60607–Fulton Market,1,1,2982,,0,73,
1306 W Fillmore St Unit 3 Chicago,IL60607–Little Italy,2,2.5,3600,2000,1.8,68,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
The Elle Apartments 801 S Financial Pl,Chicago,IL60605–South Loop,3,3,1940,466,4.163090128755365,100,
1035 W Van Buren St Unit FL21-ID753 Chicago,IL60607–West Loop,1,1,3150,739,4.2625169147496615,85,
1224 W Jackson Blvd Unit 520 Chicago,IL60607–West Loop,Studio,1,1945,489,3.9775051124744376,76,
717 W Madison St Unit 1308 Chicago,IL60661–West Loop,1,1,3251,735,4.42312925170068,92,
948 W Madison St Unit 5NW Chicago,IL60607–West Loop,2,2,3200,1100,2.909090909090909,83,
716 S Laflin St Unit 3M Chicago,IL60607–Little Italy,2,1,2250,,0,71,
420 S Clinton St Unit 407 Chicago,IL60607–West Loop,2,1,2200,,0,99,
723 S Wells St 723 S Wells St,Chicago,IL60607–South Loop,2,2,1789,448,3.9933035714285716,100,
1418 W Lexington St Unit 3F Chicago,IL60607–Little Italy,1,1,1600,,0,71,
1380 W Randolph St 1380 W Randolph St,Chicago,IL60607–Fulton Market,2,2,2355,562,4.190391459074733,72,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1000,2.495,88,
903 S Ashland Ave Unit FL2-ID720 Chicago,IL60607–Little Italy,1,1,2590,624,4.1506410256410255,70,
AMLI 900 900 S Clark St,Chicago,IL60605–South Loop,3,2,1818,497,3.6579476861167004,100,
365 N Halsted St Unit 1107.341030 Chicago,IL60654–West Loop,Studio,1,2292,515,4.450485436893204,86,
