,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
191,(Undisclosed Address),2.0,2.0,4265,1163.0,3.6672398968185727,Single Family,78.0
192,1500 W Monroe St UNIT 615,1.0,1.0,211500,900.0,235.0,Single Family,75.0
194,701 S Wells St APT 1705,2.0,2.0,391000,1300.0,300.7692307692308,Single Family,100.0
195,6 S Laflin St #920,2.0,1.0,293700,900.0,326.3333333333333,Single Family,78.0
196,1215 W Lexington St APT D,2.0,3.0,610000,2074.0,294.11764705882354,Residence,74.0
197,313 S Racine Ave #6A,3.0,3.0,1089000,2160.0,504.1666666666667,Other,78.0
198,1024 W Monroe St,2.0,2.0,579900,1300.0,446.0769230769231,Residence,78.0
199,1200 W Monroe St APT 511,2.0,2.0,417600,1248.0,334.61538461538464,Single Family,78.0
0,"123 S Green St Unit 910B Chicago,IL60607–West Loop",1.0,1.0,2300,800.0,2.875,Single Family,90
3,"719 S Loomis St Unit GRD Chicago,IL60607–Little Italy",3.0,1.0,2000,1300.0,1.5384615384615383,Other,70
4,"948 W Madison St Unit 5NW Chicago,IL60607–West Loop",2.0,2.0,3200,1025.0,3.1219512195121952,Single Family,83
5,"336 S Wells St Unit 1209 Chicago,IL60606–Chicago Loop",1.0,1.0,2150,658.0,3.267477203647416,Single Family,100
6,"One Six Six 166 N Aberdeen St,Chicago,IL60607–Fulton Market",3.0,2.0,2295,432.0,5.3125,Other,0
7,"336 S Wells St Unit 811 Chicago,IL60606–Chicago Loop",1.0,1.0,1962,552.0,3.5543478260869565,Single Family,100
8,"25 S Halsted St Unit 01 Chicago,IL60661–West Loop",1.0,1.0,3264,735.0,4.440816326530612,Single Family,92
9,"1240 W Monroe St Unit 11 Chicago,IL60607–Fulton Market",3.0,2.0,4300,1655.0,2.598187311178248,Other,76
11,"1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy",2.0,1.0,2100,900.0,2.333333333333333,Single Family,71
12,"125 S Green St 125 S Green St,Chicago,IL60607–West Loop",3.0,2.0,1884,510.0,3.694117647058824,Other,90
13,"4 bedroom in Chicago IL 60607 716 S Laflin St,Chicago,IL60607–Little Italy",4.0,3.0,4100,1300.0,3.1538461538461537,Other,71
14,"1313 Randolph Street Lofts 1313 W Randolph St,Chicago,IL60607–West Loop",2.0,2.0,2099,470.0,4.465957446808511,Single Family,71
15,"1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market",3.0,2.0,3250,1451.0,2.2398345968297724,Other,82
16,"1140 N Wells St Unit Junior Two Bedroom Suite #1.1341684 Chicago,IL60610–South Loop",2.0,2.0,14400,850.0,16.941176470588236,Single Family,97
17,"1058 W Polk St Unit 1062-1R Chicago,IL60607–University Village",2.0,1.0,1400,600.0,2.333333333333333,Single Family,74
18,"1035 W Van Buren St Unit FL12-ID435 Chicago,IL60607–West Loop",1.0,1.0,3160,738.0,4.281842818428184,Single Family,85
19,"Evo Union Park Apartments 1454 W Randolph St,Chicago,IL60607–West Loop",2.0,2.0,2154,473.0,4.553911205073995,Single Family,73
20,"939 W Washington Blvd Unit FL6-ID290 Chicago,IL60607–Fulton Market",1.0,1.0,3620,625.0,5.792,Single Family,87
23,"630 S Clark St Unit 3711 Chicago,IL60605–South Loop",1.0,1.0,1900,801.0,2.3720349563046192,Single Family,100
24,"Union West 939 W Washington Blvd,Chicago,IL60607–Fulton Market",2.0,2.0,1955,482.0,4.056016597510373,Single Family,84
26,"700 S Clark St 700 S Clark St,Chicago,IL60605–South Loop",2.0,2.0,1986,530.0,3.7471698113207546,Single Family,100
28,"354 N Union Ave Unit Junior Two Bedroom Suite #6.1341704 Chicago,IL60661–West Loop",2.0,2.0,14400,850.0,16.941176470588236,Single Family,86
